Date,State,County,Species,Group,Strain
06/22/2022,Maine,York,Harbor seal,Marine Mammals,EA H5N1
06/20/2022,Michigan,Iron,Raccoon,Wild Carnivores,EA H5N1
06/13/2022,Alaska,Nome Census Area,Red fox,Wild Carnivores,EA/AM H5N1
06/07/2022,Idaho,Adams,Striped skunk,Wild Carnivores,EA/AM H5N1
06/07/2022,Idaho,Adams,Striped skunk,Wild Carnivores,EA/AM H5N1
06/06/2022,Washington,Franklin,Raccoon,Wild Carnivores,EA/AM H5N1
06/05/2022,Idaho,Latah,Striped skunk,Wild Carnivores,EA/AM H5N1
06/01/2022,Michigan,Muskegon,Red fox,Wild Carnivores,EA/AM H5N1
05/31/2022,Michigan,Chippewa,Red fox,Wild Carnivores,EA H5N1
05/29/2022,Minnesota,Scott,Red fox,Wild Carnivores,EA/AM H5N1
05/26/2022,Utah,Salt Lake,Red fox,Wild Carnivores,EA H5N1
05/24/2022,Utah,Salt Lake,Red fox,Wild Carnivores,EA/AM H5N1
05/23/2022,North Dakota,Dickey,Red fox,Wild Carnivores,EA/AM H5N1
05/23/2022,North Dakota,Dickey,Red fox,Wild Carnivores,EA/AM H5N1
05/20/2022,New York,Erie,Red fox,Wild Carnivores,EA H5N1
05/20/2022,Iowa,Buchanan,Virginia opossum,Rodents/Small Mammals,EA/AM H5N1
05/20/2022,Iowa,Buchanan,Virginia opossum,Rodents/Small Mammals,EA/AM H5N1
05/19/2022,Michigan,Osceola,Red fox,Wild Carnivores,EA H5N1
05/18/2022,North Dakota,Burleigh,Red fox,Wild Carnivores,EA/AM H5N1
05/18/2022,Michigan,Otsego,Red fox,Wild Carnivores,EA H5N1
05/18/2022,Michigan,Bay,Red fox,Wild Carnivores,EA H5N1
05/15/2022,Michigan,Bay,Red fox,Wild Carnivores,EA/AM H5N1
05/14/2022,Michigan,Gladwin,Red fox,Wild Carnivores,EA/AM H5N1
05/13/2022,Minnesota,Itasca,Red fox,Wild Carnivores,EA/AM H5N1
05/11/2022,Iowa,Cedar,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,Minnesota,Hennepin,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,Minnesota,Washington,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,Minnesota,Dakota,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,Minnesota,Hennepin,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,New York,Niagara,Red fox,Wild Carnivores,EA H5N1
05/10/2022,Alaska,Aleutians West,Red fox,Wild Carnivores,EA H5N1
05/10/2022,Minnesota,Stearns,Red fox,Wild Carnivores,EA H5N1
05/10/2022,Michigan,Midland,Red fox,Wild Carnivores,EA H5N1
05/10/2022,Michigan,Midland,Red fox,Wild Carnivores,EA H5N1
05/06/2022,Iowa,Hancock,Red fox,Wild Carnivores,EA/AM H5N1
05/06/2022,Wisconsin,Grant,Red fox,Wild Carnivores,EA H5N1
05/06/2022,Wisconsin,Grant,Red fox,Wild Carnivores,EA H5N1
05/05/2022,Wisconsin,Dane,Red fox,Wild Carnivores,EA/AM H5N1
05/05/2022,Wisconsin,Lincoln,Bobcat,Domestic/Companion,EA H5N1
05/05/2022,Michigan,Osceola,Red fox,Wild Carnivores,EA H5N1
05/03/2022,Wisconsin,Adams,Red fox,Wild Carnivores,EA H5N1
05/03/2022,Wisconsin,Adams,Red fox,Wild Carnivores,EA H5N1
05/03/2022,Michigan,Wexford,Coyote,Wild Carnivores,EA/AM H5N1
04/27/2022,New York,Erie,Red fox,Wild Carnivores,EA H5N1
04/27/2022,New York,Erie,Red fox,Wild Carnivores,EA H5N1
04/24/2022,Wisconsin,Waushara,Red fox,Wild Carnivores,EA H5N1
04/24/2022,Wisconsin,Lincoln,Bobcat,Domestic/Companion,EA H5N1
04/22/2022,Minnesota,Anoka,Red fox,Wild Carnivores,EA/AM H5N1
04/20/2022,Nebraska,Lancaster,Grizzly bear,Wild Carnivores,EA/AM H5N1
04/19/2022,Wisconsin,Rock,Red fox,Wild Carnivores,EA/AM H5N1
04/19/2022,Wisconsin,Rock,Red fox,Wild Carnivores,EA/AM H5N1
04/15/2022,New York,St. Lawrence,Red fox,Wild Carnivores,EA/AM H5N1
04/15/2022,New York,St Lawrence,Red fox,Wild Carnivores,EA/AM H5N1
04/14/2022,Michigan,Lapeer,Red fox,Wild Carnivores,EA/AM H5N1
04/14/2022,Wisconsin,St Croix,Fisher,Wild Carnivores,EA/AM H5N1
04/13/2022,Michigan,St Clair,Red fox,Wild Carnivores,EA/AM H5N1
04/12/2022,Wisconsin,Dane,Red fox,Wild Carnivores,EA H5N1
04/11/2022,Wisconsin,Jefferson,Red fox,Wild Carnivores,EA H5N1
04/11/2022,New York,Tompkins,Red fox,Wild Carnivores,EA H5N1
04/09/2022,Wisconsin,Jefferson,Red fox,Wild Carnivores,EA H5N1
04/09/2022,Wisconsin,Jefferson,Red fox,Wild Carnivores,EA/AM H5N1
04/01/2022,Michigan,Macomb,Red fox,Wild Carnivores,EA/AM H5N1
03/30/2022,Florida,Dixie,Bottlenose dolphin,Marine Mammals,EA/AM H5N1
